10000, 15, 1250
24,3803,638,919,70,101,4,15,0
37,3813,615,912,84,104,4,13,0
24,3865,640,910,70,81,6,22,0
31,3834,678,893,78,94,6,9,0
32,3821,595,924,79,91,7,22,0
27,3842,639,933,63,102,1,9,0
18,3885,660,887,72,91,6,15,0
28,3879,646,931,65,81,5,13,0
34,3864,638,922,65,85,9,15,0
29,3839,615,934,69,88,5,19,0
27,3867,672,922,75,74,2,13,0
22,3969,682,883,75,69,3,15,0
26,3921,648,890,61,97,6,14,0
22,3988,631,856,69,110,6,10,0
31,3892,664,865,75,86,5,25,0
19,3931,622,917,71,83,8,11,0
20,3957,637,904,55,103,5,6,0
35,3839,644,930,62,77,10,20,0
24,3868,619,897,65,111,9,12,0
33,3882,662,901,72,93,3,10,0
32,3745,650,911,85,106,3,12,0
32,3965,622,890,66,93,12,10,0
36,3971,656,861,66,93,6,17,0
27,3772,600,953,87,95,2,12,0
19,3807,623,908,76,98,3,23,0
19,3936,650,940,59,76,6,6,0
25,3953,621,889,85,88,4,12,0
21,3870,670,864,60,119,6,11,0
24,3900,654,922,69,77,4,13,0
23,3820,633,911,72,101,9,12,0
24,3865,638,904,70,102,5,11,0
18,3919,642,926,71,84,5,5,0
26,3879,655,926,67,79,6,12,0
25,3888,609,925,77,87,7,12,0
28,3869,593,944,62,94,9,13,0
24,3944,689,874,58,91,7,11,0
29,3787,638,929,75,96,6,12,0
16,3783,641,942,80,94,1,9,0
29,3938,622,917,65,87,4,14,0
29,3931,587,913,72,93,8,15,0
23,3890,627,906,77,83,10,15,0
26,3877,640,892,76,101,4,12,0
33,3938,621,916,68,90,5,10,0
24,3907,636,911,71,89,3,13,0
28,3847,636,909,66,98,4,18,0
22,3934,622,933,62,81,6,12,0
24,3939,659,916,59,79,5,12,0
17,3928,632,900,69,91,6,13,0
29,3930,613,907,76,91,5,12,0
25,3891,650,913,87,74,3,12,0
21,3930,641,899,81,83,3,12,0
43,3854,561,945,73,100,7,15,0
26,3806,637,916,80,96,4,14,0
26,3966,585,940,57,88,7,12,0
23,3821,655,913,68,95,7,13,0
29,3877,622,917,58,96,9,16,0
22,3854,633,911,74,99,6,10,0
23,3912,640,909,75,85,6,10,0
27,3961,632,873,77,97,6,11,0
30,3876,657,891,63,100,5,15,0
23,3816,644,937,75,84,4,13,0
32,3922,640,913,78,75,4,14,0
20,3821,616,952,66,90,6,13,0
25,3864,663,871,84,95,4,16,0
27,3932,630,925,67,83,5,10,0
24,3861,663,914,57,98,2,13,0
19,3900,632,915,70,90,8,9,0
18,3839,599,944,73,91,6,14,0
18,3900,632,900,70,93,6,15,0
26,3826,654,911,63,107,2,12,0
30,3880,682,882,64,99,3,13,0
29,3868,647,881,80,99,3,16,0
34,3891,579,943,67,92,3,18,0
29,3963,637,891,68,88,5,14,0
23,3951,600,951,56,77,3,17,0
39,3895,630,917,73,78,6,18,0
25,3869,638,915,61,95,6,15,0
28,3845,599,936,66,97,4,18,0
24,3867,649,915,75,77,6,17,0
31,3835,601,937,70,91,1,23,0
18,3926,640,907,62,91,6,12,0
20,3957,640,915,65,77,3,15,0
19,3877,677,897,72,89,3,11,0
25,3890,630,894,75,97,7,13,0
31,3847,644,899,74,96,5,16,0
27,3937,617,879,69,105,6,15,0
22,3829,628,931,71,89,4,17,0
30,3800,670,916,73,91,4,13,0
24,3925,598,935,76,84,5,10,0
21,3883,624,903,62,101,4,19,0
25,3865,698,913,66,72,7,12,0
26,3904,631,886,62,106,6,16,0
28,3930,669,893,71,78,4,15,0
23,3902,627,878,78,107,6,11,0
26,3868,647,921,86,76,4,11,0
28,3946,680,896,64,84,4,8,0
23,3829,634,922,82,92,6,9,0
26,3936,602,897,64,109,8,10,0
16,3901,648,911,78,78,15,4,0
18,3753,608,959,76,99,7,9,0
27,3812,655,910,70,98,5,14,0
29,3804,638,943,71,91,3,12,0
20,3899,640,941,53,77,3,19,0
31,3850,636,919,81,80,7,15,0
25,3919,611,901,70,97,6,15,0
17,3883,638,915,66,89,3,17,0
26,3940,672,909,70,77,3,8,0
28,3853,677,900,66,86,5,17,0
29,3852,601,955,76,81,4,14,0
24,3919,597,883,71,118,5,12,0
31,3800,657,895,80,92,11,15,0
18,3908,633,888,76,101,2,13,0
25,3822,648,935,60,87,9,14,0
21,3912,642,930,63,85,4,9,0
25,3892,626,942,73,79,5,9,0
34,3941,579,904,89,92,3,15,0
23,3889,621,889,73,97,7,19,0
28,3828,623,940,71,90,4,14,0
32,3930,634,901,70,81,11,14,0
27,3903,605,917,64,98,7,14,0
23,3864,643,915,67,89,5,16,0
22,3948,641,883,80,82,6,15,0
37,3908,667,887,73,88,4,13,0
16,3889,620,930,77,85,7,8,0
22,3848,692,933,50,82,3,13,0
20,3874,654,933,58,85,7,10,0
23,3958,629,900,75,84,5,12,0
17,3868,670,904,72,91,4,9,0
17,3845,639,950,72,82,5,7,0
17,3833,615,911,74,110,4,12,0
25,3899,640,916,71,81,6,14,0
24,3914,675,883,66,104,3,5,0
26,3866,624,910,76,89,4,19,0
23,3859,599,968,61,94,2,9,0
28,3938,619,924,66,88,7,8,0
20,3880,623,933,65,88,8,11,0
25,3928,601,916,60,102,4,14,0
25,3818,660,918,73,81,7,17,0
